director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combined
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar,cch pounder joel david moor we studi jame cameron action adventur fantasi sci-fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,johnni depp orlando bloom jack davenport gore verbinski action adventur fantasi
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,christoph waltz rori kinnear stephani sigman sam mend action adventur thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,tom hardi christian bale joseph gordon-levitt christoph nolan action thriller
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,doug walker rob walker unknown doug walker documentari
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,daryl sabara samantha morton polli walker andrew stanton action adventur sci-fi
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,brad garrett donna murphi m.c. gainey nathan greno adventur anim comedi famili fantasi music romanc
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,chri hemsworth robert downey jr. scarlett johansson joss whedon action adventur sci-fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,alan rickman daniel radcliff rupert grint david yate adventur famili fantasi mysteri
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,henri cavil lauren cohan alan d. purwin zack snyder action adventur sci-fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,kevin spacey marlon brando frank langella bryan singer action adventur sci-fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,giancarlo giannini mathieu amalr rori kinnear marc forster action adventur
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,johnni depp orlando bloom jack davenport gore verbinski action adventur fantasi
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,johnni depp ruth wilson tom wilkinson gore verbinski action adventur western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,henri cavil christoph meloni harri lennix zack snyder action adventur fantasi sci-fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,peter dinklag pierfrancesco favino damián alcázar andrew adamson action adventur famili fantasi
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,johnni depp sam claflin stephen graham rob marshal action adventur fantasi
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,will smith michael stuhlbarg nicol scherzing barri sonnenfeld action adventur comedi famili fantasi sci-fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,aidan turner adam brown jame nesbitt peter jackson adventur fantasi
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,emma stone andrew garfield chri zylka marc webb action adventur fantasi
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,mark addi william hurt scott grime ridley scott action adventur drama histori
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,aidan turner adam brown jame nesbitt peter jackson adventur fantasi
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,christoph lee eva green kristin scott thoma chri weitz adventur famili fantasi
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,leonardo dicaprio kate winslet gloria stuart jame cameron drama romanc
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,robert downey jr. scarlett johansson chri evan anthoni russo action adventur sci-fi
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,liam neeson alexand skarsgård tadanobu asano peter berg action adventur sci-fi thriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,bryce dalla howard judi greer omar sy colin trevorrow action adventur sci-fi thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,j.k. simmon jame franco kirsten dunst sam raimi action adventur fantasi romanc
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,robert downey jr. jon favreau don cheadl shane black action adventur sci-fi
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,hugh jackman kelsey grammer daniel cudmor brett ratner action adventur fantasi sci-fi thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,steve buscemi tyler labin sean hay dan scanlon adventur anim comedi famili fantasi
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,glenn morshow kevin dunn ramon rodriguez michael bay action adventur sci-fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,bingb li sophia myle kelsey grammer michael bay action adventur sci-fi
